ax,ay,az,gx,gy,gz,label
-4604.0,-3800.0,13148.0,-7440.0,2294.0,1367.0,ele
-3268.0,-4140.0,15192.0,-7645.0,2611.0,2566.0,ele
-1572.0,-4904.0,16464.0,-7959.0,1118.0,3085.0,ele
316.0,-5372.0,18472.0,-7983.0,945.0,3117.0,ele
2488.0,-5268.0,21116.0,-6982.0,354.0,2319.0,ele
2608.0,-4964.0,22400.0,-5201.0,-76.0,1282.0,ele
2492.0,-4584.0,22428.0,-3020.0,-1077.0,555.0,ele
1412.0,-4128.0,21688.0,-635.0,-324.0,21.0,ele
972.0,-3936.0,19420.0,1280.0,-444.0,-225.0,ele
644.0,-3788.0,16500.0,2074.0,-625.0,-500.0,ele
172.0,-3540.0,14380.0,1956.0,-697.0,-716.0,ele
-412.0,-3252.0,13680.0,1407.0,-728.0,-743.0,ele
-1200.0,-3068.0,13532.0,724.0,-630.0,-541.0,ele
-1576.0,-2924.0,13864.0,192.0,-530.0,-134.0,ele
-1224.0,-2828.0,14276.0,-55.0,-57.0,365.0,ele
-592.0,-3108.0,14508.0,-292.0,20.0,617.0,ele
72.0,-3276.0,15176.0,-462.0,-220.0,575.0,ele
412.0,-3240.0,15944.0,-284.0,-191.0,504.0,ele
-2036.0,2472.0,16684.0,167.0,228.0,296.0,ele
-1640.0,2476.0,16936.0,-68.0,421.0,213.0,ele
-1500.0,2572.0,17460.0,-190.0,200.0,-26.0,ele
-1832.0,2512.0,17808.0,-182.0,110.0,-204.0,ele
-2292.0,2524.0,17752.0,-62.0,22.0,-236.0,ele
-2552.0,2556.0,17984.0,20.0,86.0,-185.0,ele
-2724.0,2628.0,17872.0,80.0,36.0,-82.0,ele
-2560.0,2628.0,17652.0,193.0,71.0,62.0,ele
-2428.0,2464.0,17360.0,77.0,185.0,118.0,ele
-3044.0,2848.0,17672.0,-49.0,-127.0,65.0,ele
-5892.0,3188.0,18276.0,-13.0,914.0,496.0,ele
-9324.0,3380.0,19324.0,259.0,695.0,1415.0,ele
-12592.0,2904.0,20308.0,546.0,-1944.0,3998.0,ele
-12988.0,1612.0,20708.0,1651.0,-2507.0,7464.0,ele
-11220.0,-956.0,20848.0,3505.0,-843.0,11416.0,ele
-6376.0,-4104.0,20048.0,4846.0,246.0,13915.0,ele
-2516.0,-7164.0,18100.0,5887.0,-555.0,15564.0,ele
2804.0,-9564.0,17516.0,5994.0,1018.0,15255.0,ele
7076.0,-10812.0,17200.0,6427.0,293.0,14081.0,ele
8036.0,-11796.0,14080.0,6251.0,389.0,11763.0,ele
7748.0,-12532.0,12392.0,5095.0,1227.0,9952.0,ele
8228.0,-12292.0,12732.0,3929.0,2227.0,8290.0,ele
8576.0,-12256.0,12584.0,2659.0,3507.0,6392.0,ele
9848.0,-12184.0,13612.0,1296.0,1208.0,4019.0,ele
10492.0,-12264.0,12424.0,230.0,372.0,1172.0,ele
8404.0,-11920.0,11376.0,-1037.0,-135.0,-1564.0,ele
4124.0,-11512.0,10308.0,-2900.0,266.0,-3013.0,ele
920.0,-10892.0,10772.0,-4879.0,107.0,-3076.0,ele
-676.0,-10356.0,11216.0,-6636.0,679.0,-2356.0,ele
-1648.0,-10284.0,12676.0,-8022.0,1063.0,-1352.0,ele
-2416.0,-10140.0,14872.0,-8778.0,1648.0,-61.0,ele
-1932.0,-10484.0,16192.0,-9168.0,1623.0,1372.0,ele
64.0,-10924.0,17588.0,-9404.0,90.0,2139.0,ele
2336.0,-11556.0,18160.0,-9914.0,-5526.0,2277.0,ele
2836.0,-11720.0,19980.0,-8740.0,646.0,2034.0,ele
3576.0,-11476.0,22480.0,-7452.0,199.0,1601.0,ele
4120.0,-10556.0,24288.0,-4772.0,896.0,1079.0,ele
3948.0,-9824.0,24580.0,-1574.0,1345.0,397.0,ele
3056.0,-9868.0,22560.0,1302.0,795.0,-23.0,ele
2128.0,-9952.0,18932.0,2937.0,361.0,-141.0,ele
-9436.0,1900.0,12292.0,1558.0,436.0,2201.0,equis
-8412.0,1492.0,12636.0,559.0,752.0,3831.0,equis
-7952.0,608.0,13892.0,-117.0,1280.0,5266.0,equis
-8176.0,328.0,16336.0,-245.0,1213.0,6761.0,equis
-6748.0,-708.0,16404.0,300.0,2037.0,8713.0,equis
-4748.0,-1864.0,17148.0,259.0,2112.0,10141.0,equis
-3200.0,-2748.0,19040.0,626.0,1963.0,11309.0,equis
-1956.0,-3896.0,19888.0,1663.0,2807.0,12330.0,equis
884.0,-5348.0,19040.0,2555.0,3936.0,13109.0,equis
2904.0,-6344.0,18368.0,2801.0,5020.0,12996.0,equis
5692.0,-6988.0,17816.0,2914.0,5824.0,12816.0,equis
6432.0,-7612.0,17588.0,2475.0,5831.0,11909.0,equis
6548.0,-7972.0,18572.0,2065.0,5527.0,10689.0,equis
6500.0,-8264.0,19940.0,2358.0,5663.0,9857.0,equis
7068.0,-8800.0,19960.0,2551.0,4469.0,8915.0,equis
6852.0,-9048.0,20812.0,2896.0,5919.0,7932.0,equis
8108.0,-9620.0,20604.0,3144.0,3522.0,6898.0,equis
10104.0,-9980.0,18272.0,3153.0,2443.0,5202.0,equis
9880.0,-9784.0,16652.0,2527.0,748.0,2944.0,equis
8900.0,-9544.0,16112.0,1611.0,-636.0,1114.0,equis
9092.0,-9272.0,17560.0,675.0,-1127.0,-438.0,equis
10276.0,-9152.0,20772.0,524.0,-2086.0,-2166.0,equis
9960.0,-8672.0,23056.0,1345.0,-2550.0,-4096.0,equis
8596.0,-8728.0,24168.0,2779.0,-2115.0,-5617.0,equis
5452.0,-8644.0,23432.0,4287.0,-2193.0,-6350.0,equis
4308.0,-7960.0,21920.0,5618.0,-906.0,-6372.0,equis
4432.0,-7512.0,19540.0,6610.0,-809.0,-6528.0,equis
3928.0,-7076.0,16768.0,6934.0,-1850.0,-7046.0,equis
2904.0,-6596.0,14412.0,6610.0,-3344.0,-7885.0,equis
-840.0,-5336.0,10916.0,5725.0,-3401.0,-8036.0,equis
-5820.0,-4064.0,6892.0,3730.0,-3022.0,-6998.0,equis
-9724.0,-2664.0,4664.0,947.0,-3101.0,-4230.0,equis
-10012.0,-2056.0,5036.0,-2932.0,-1286.0,83.0,equis
-6232.0,-3260.0,6460.0,-5817.0,630.0,3414.0,equis
-2472.0,-4272.0,8868.0,-8149.0,670.0,5363.0,equis
392.0,-5784.0,10724.0,-10392.0,926.0,6618.0,equis
2760.0,-7752.0,12828.0,-12127.0,3635.0,6584.0,equis
3816.0,-8700.0,16404.0,-13711.0,2716.0,6040.0,equis
5136.0,-9676.0,21584.0,-14059.0,4620.0,5097.0,equis
6660.0,-10576.0,25684.0,-12584.0,6115.0,4074.0,equis
160.0,284.0,14936.0,-125.0,171.0,257.0,equis
416.0,84.0,15364.0,-478.0,412.0,252.0,equis
280.0,300.0,16440.0,-469.0,331.0,258.0,equis
532.0,88.0,16356.0,-236.0,99.0,261.0,equis
792.0,144.0,16080.0,-120.0,-49.0,49.0,equis
376.0,104.0,15832.0,-73.0,-172.0,-14.0,equis
-364.0,-280.0,15636.0,-205.0,-106.0,-248.0,equis
-3328.0,-484.0,16412.0,-293.0,-277.0,-130.0,equis
-6380.0,-732.0,17860.0,-142.0,193.0,831.0,equis
-8104.0,-1096.0,18796.0,523.0,496.0,2919.0,equis
-8592.0,-2000.0,19684.0,1468.0,1319.0,5648.0,equis
-9140.0,-3432.0,20684.0,2708.0,2919.0,8869.0,equis
-6140.0,-5488.0,20388.0,3815.0,3789.0,12271.0,equis
-3568.0,-6820.0,21196.0,4876.0,5355.0,14901.0,equis
1908.0,-9324.0,20252.0,5985.0,7216.0,16975.0,equis
7996.0,-10952.0,18460.0,6353.0,7984.0,17610.0,equis
12324.0,-11344.0,18112.0,5990.0,8669.0,16593.0,equis
13024.0,-11020.0,19012.0,5640.0,6511.0,14863.0,equis
16476.0,-11520.0,19800.0,6120.0,5547.0,13968.0,equis
23376.0,-12036.0,20176.0,6815.0,3408.0,12123.0,equis
29168.0,-12468.0,19540.0,7822.0,3218.0,6733.0,equis
26808.0,-11780.0,17416.0,8339.0,1256.0,1012.0,equis
22240.0,-11356.0,13996.0,8087.0,-276.0,-3806.0,equis
15660.0,-10484.0,12372.0,7198.0,-1378.0,-6608.0,equis
12940.0,-10048.0,11292.0,6085.0,-1326.0,-8467.0,equis
10432.0,-9084.0,11460.0,5297.0,289.0,-9507.0,equis
7760.0,-8444.0,10312.0,4588.0,-1444.0,-10321.0,equis
4784.0,-7424.0,8892.0,3360.0,-1013.0,-10137.0,equis
2168.0,-6428.0,8912.0,2185.0,-1072.0,-9503.0,equis
-488.0,-5564.0,9112.0,1058.0,-3114.0,-8295.0,equis
-2700.0,-4784.0,7556.0,471.0,-1359.0,-6491.0,equis
-5640.0,-3952.0,5508.0,-735.0,-2137.0,-4550.0,equis
-8896.0,-3376.0,4008.0,-3266.0,-2013.0,-889.0,equis
-9908.0,-3692.0,4932.0,-5825.0,-1523.0,3743.0,equis
-5156.0,-5864.0,5936.0,-7911.0,-1379.0,7543.0,equis
-660.0,-7640.0,7932.0,-9999.0,-1504.0,9822.0,equis
2804.0,-9536.0,10040.0,-11280.0,-2146.0,11727.0,equis
6164.0,-11172.0,11788.0,-12551.0,-1638.0,12350.0,equis
10048.0,-13068.0,15284.0,-13451.0,-599.0,12238.0,equis
13588.0,-14116.0,20268.0,-13337.0,-2675.0,11512.0,equis
8172.0,-9772.0,18640.0,6043.0,-1433.0,-5484.0,equis
9260.0,-9452.0,17772.0,6085.0,-2027.0,-6456.0,equis
7968.0,-8708.0,17308.0,6135.0,-2970.0,-7682.0,equis
4664.0,-7588.0,14972.0,5686.0,-2815.0,-7949.0,equis
3344.0,-6428.0,14688.0,4960.0,-2185.0,-7432.0,equis
3168.0,-5328.0,14468.0,4404.0,-1714.0,-6762.0,equis
3404.0,-4788.0,14316.0,3894.0,-944.0,-6338.0,equis
1832.0,-4076.0,13296.0,3508.0,-943.0,-6033.0,equis
-1400.0,-3188.0,11340.0,2857.0,-1415.0,-5007.0,equis
-3724.0,-2352.0,8672.0,1437.0,-2013.0,-2670.0,equis
-2520.0,-2492.0,7608.0,-679.0,-345.0,-150.0,equis
-596.0,-2868.0,7984.0,-2574.0,-868.0,1448.0,equis
-1740.0,-3516.0,7092.0,-4565.0,-2456.0,2749.0,equis
-2620.0,-4920.0,7392.0,-6834.0,-2723.0,4647.0,equis
-128.0,-6520.0,9328.0,-8694.0,-1696.0,6755.0,equis
1904.0,-8304.0,11500.0,-9821.0,296.0,8048.0,equis
4568.0,-10004.0,14036.0,-10790.0,1287.0,8313.0,equis
7556.0,-11252.0,17336.0,-11219.0,601.0,8098.0,equis
8704.0,-11892.0,21016.0,-10699.0,358.0,6948.0,equis
10216.0,-12476.0,23544.0,-9430.0,2137.0,5672.0,equis
10448.0,-12520.0,25620.0,-7558.0,1634.0,4140.0,equis
9504.0,-12244.0,25320.0,-5573.0,83.0,2860.0,equis
10132.0,-12604.0,24380.0,-4066.0,2327.0,1768.0,equis
9196.0,-12220.0,24428.0,-2818.0,670.0,872.0,equis
9060.0,-12372.0,22968.0,-1795.0,2148.0,-9.0,equis
8588.0,-12216.0,23468.0,-1020.0,2244.0,-663.0,equis
8232.0,-12684.0,23832.0,-101.0,2323.0,-1376.0,equis
8104.0,-12864.0,23348.0,753.0,2776.0,-2092.0,equis
6596.0,-12312.0,23848.0,1498.0,2736.0,-2855.0,equis
5652.0,-11916.0,23368.0,2481.0,1788.0,-3138.0,equis
7772.0,-12088.0,22948.0,3125.0,1199.0,-3892.0,equis
8392.0,-11748.0,22656.0,4105.0,575.0,-5446.0,equis
6968.0,-10856.0,21388.0,4481.0,-1460.0,-6829.0,equis
6752.0,-9828.0,20156.0,4605.0,-1588.0,-7910.0,equis
4520.0,-8288.0,21124.0,4409.0,-2980.0,-8611.0,equis
3600.0,-7604.0,20108.0,4746.0,-978.0,-8545.0,equis
3512.0,-6888.0,18908.0,4803.0,437.0,-8364.0,equis
1492.0,-5644.0,17484.0,4764.0,385.0,-7847.0,equis
-240.0,-3580.0,16280.0,4289.0,2443.0,-6654.0,equis
-428.0,-3272.0,14332.0,3072.0,4808.0,-5512.0,equis
4.0,120.0,15860.0,293.0,-132.0,-287.0,equis
-96.0,52.0,15588.0,180.0,71.0,-88.0,equis
184.0,160.0,15372.0,22.0,46.0,10.0,equis
320.0,192.0,15792.0,-61.0,31.0,56.0,equis
820.0,-100.0,15612.0,-82.0,1.0,43.0,equis
716.0,132.0,15788.0,-111.0,159.0,-158.0,equis
-1504.0,-48.0,15248.0,-159.0,265.0,-262.0,equis
-5496.0,-664.0,15212.0,-532.0,369.0,435.0,equis
-8840.0,-732.0,17076.0,-612.0,1106.0,2197.0,equis
-10728.0,-756.0,17976.0,-118.0,451.0,6285.0,equis
-6320.0,-2976.0,16796.0,324.0,3040.0,9766.0,equis
-2000.0,-4604.0,17016.0,141.0,3728.0,11534.0,equis
1000.0,-5740.0,17392.0,-85.0,3390.0,12524.0,equis
4020.0,-6588.0,18372.0,-133.0,3197.0,11652.0,equis
4220.0,-7092.0,19500.0,326.0,3987.0,11401.0,equis
3044.0,-8012.0,18816.0,607.0,3634.0,11446.0,equis
4712.0,-9420.0,17852.0,409.0,3544.0,12023.0,equis
6496.0,-9968.0,18904.0,211.0,4005.0,12032.0,equis
8936.0,-10948.0,19028.0,96.0,3965.0,11057.0,equis
9136.0,-11248.0,19504.0,70.0,3604.0,9705.0,equis
10732.0,-11840.0,18964.0,-107.0,3468.0,8643.0,equis
12908.0,-12156.0,19064.0,-668.0,1275.0,7081.0,equis
18024.0,-12564.0,22576.0,-1017.0,99.0,4252.0,equis
19716.0,-12540.0,28196.0,328.0,-1678.0,167.0,equis
17104.0,-12692.0,30880.0,3495.0,-2286.0,-3747.0,equis
13048.0,-12912.0,29496.0,7051.0,-2660.0,-6636.0,equis
9040.0,-12728.0,24408.0,9574.0,-3017.0,-7941.0,equis
7000.0,-11948.0,19932.0,10694.0,-1159.0,-8688.0,equis
7688.0,-10576.0,15404.0,10287.0,-2472.0,-9012.0,equis
8812.0,-9704.0,13736.0,9132.0,-2872.0,-10964.0,equis
4824.0,-8232.0,12700.0,7885.0,-3712.0,-12256.0,equis
568.0,-6568.0,12188.0,7165.0,-1187.0,-12399.0,equis
-3668.0,-4892.0,9480.0,5984.0,-2254.0,-10474.0,equis
-6496.0,-3532.0,7264.0,4565.0,-1759.0,-8352.0,equis
-8728.0,-2368.0,4212.0,2879.0,-1423.0,-5509.0,equis
-10148.0,-1336.0,2840.0,-416.0,-1560.0,-2176.0,equis
-8588.0,-1524.0,2772.0,-3694.0,-1711.0,1539.0,equis
-5288.0,-2720.0,3696.0,-6348.0,-1634.0,4123.0,equis
-676.0,-4216.0,4980.0,-8991.0,-2264.0,5641.0,equis
344.0,-5164.0,7328.0,-11490.0,-2660.0,5732.0,equis
-1012.0,756.0,15248.0,73.0,-43.0,139.0,equis
-1300.0,932.0,15316.0,-9.0,28.0,239.0,equis
-1116.0,652.0,15076.0,-48.0,63.0,307.0,equis
-852.0,788.0,15260.0,-112.0,61.0,275.0,equis
-588.0,692.0,15248.0,-180.0,186.0,210.0,equis
-908.0,584.0,15448.0,-83.0,201.0,-48.0,equis
-4232.0,520.0,14368.0,62.0,1059.0,-134.0,equis
-7748.0,-232.0,13260.0,-583.0,1517.0,1271.0,equis
-9836.0,-744.0,12800.0,-1229.0,821.0,2129.0,equis
-13708.0,-1476.0,13532.0,-1990.0,878.0,5995.0,equis
-13616.0,-4268.0,16132.0,-2671.0,1574.0,10877.0,equis
-11840.0,-6668.0,17984.0,-2074.0,2108.0,16155.0,equis
-3764.0,-11648.0,15348.0,-2649.0,4385.0,20966.0,equis
3312.0,-13472.0,17088.0,-3557.0,5241.0,20135.0,equis
6700.0,-13840.0,20788.0,-4484.0,5543.0,20525.0,equis
11448.0,-13944.0,24112.0,-3666.0,5765.0,19367.0,equis
18300.0,-14008.0,24776.0,-2600.0,6556.0,17141.0,equis
22708.0,-12624.0,26652.0,-1581.0,4095.0,12414.0,equis
25632.0,-11696.0,27432.0,-81.0,3144.0,7493.0,equis
24872.0,-11376.0,30256.0,1807.0,512.0,1743.0,equis
20892.0,-11472.0,32767.0,5228.0,-344.0,-3158.0,equis
15940.0,-12364.0,28720.0,8894.0,-2062.0,-6465.0,equis
11696.0,-12412.0,23548.0,11064.0,-2056.0,-8933.0,equis
8160.0,-11736.0,18760.0,11614.0,-2116.0,-9854.0,equis
7476.0,-10656.0,17780.0,11926.0,-3296.0,-10539.0,equis
6088.0,-9896.0,11108.0,11439.0,-4466.0,-11671.0,equis
764.0,-8036.0,6232.0,9706.0,-4565.0,-12017.0,equis
-4856.0,-5552.0,1880.0,6613.0,-4002.0,-10759.0,equis
-11064.0,-3344.0,-2508.0,1492.0,-2799.0,-7364.0,equis
-15440.0,-2824.0,-2212.0,-3705.0,-3182.0,-1973.0,equis
-11624.0,-4560.0,236.0,-8224.0,-2147.0,5221.0,equis
-3652.0,-7612.0,2668.0,-12014.0,-1860.0,9539.0,equis
4904.0,-11376.0,6628.0,-15786.0,-954.0,11213.0,equis
7580.0,-13596.0,11180.0,-18285.0,-199.0,9213.0,equis
7092.0,-15432.0,17152.0,-20178.0,58.0,8462.0,equis
9488.0,-17028.0,25372.0,-20465.0,2489.0,7700.0,equis
12112.0,-16168.0,32767.0,-17371.0,4112.0,6123.0,equis
12624.0,-15200.0,32767.0,-12252.0,4376.0,3661.0,equis
13740.0,-14240.0,32767.0,-6400.0,3174.0,1156.0,equis
11708.0,-13884.0,32767.0,-1643.0,953.0,-1189.0,equis
348.0,-508.0,16812.0,45.0,-229.0,-266.0,equis
380.0,-512.0,16856.0,-55.0,-87.0,-101.0,equis
420.0,-720.0,17488.0,-142.0,107.0,2.0,equis
892.0,-548.0,18236.0,162.0,68.0,100.0,equis
1584.0,-684.0,17972.0,446.0,-62.0,-117.0,equis
1320.0,-636.0,17304.0,600.0,-153.0,-320.0,equis
-24.0,-1020.0,16640.0,499.0,-69.0,-578.0,equis
-4796.0,-1152.0,16912.0,204.0,893.0,-445.0,equis
-10564.0,-1620.0,17444.0,-77.0,2683.0,1678.0,equis
-15204.0,-1684.0,21192.0,72.0,2492.0,5368.0,equis
-12968.0,-4260.0,20624.0,1665.0,3578.0,12105.0,equis
-8544.0,-8216.0,20036.0,2100.0,5679.0,17143.0,equis
-2008.0,-12008.0,20268.0,2167.0,7476.0,20482.0,equis
3944.0,-14512.0,22228.0,1696.0,9119.0,20956.0,equis
6520.0,-15956.0,24316.0,1672.0,9304.0,19949.0,equis
11248.0,-17016.0,27396.0,2326.0,5578.0,18944.0,equis
16280.0,-17268.0,26348.0,4025.0,2849.0,15970.0,equis
20604.0,-16776.0,23792.0,4529.0,-126.0,11749.0,equis
25728.0,-16152.0,24564.0,4658.0,-1310.0,6303.0,equis
27612.0,-15564.0,25576.0,5326.0,-4544.0,-681.0,equis
22388.0,-15388.0,24304.0,6148.0,-8859.0,-7791.0,equis
17796.0,-15436.0,21180.0,6080.0,-13894.0,-12370.0,equis
14644.0,-15024.0,17888.0,5260.0,-17627.0,-16373.0,equis
10872.0,-14516.0,15040.0,3647.0,-18539.0,-19209.0,equis
4572.0,-13120.0,13204.0,1995.0,-17530.0,-20547.0,equis
-3756.0,-10764.0,11000.0,1091.0,-9359.0,-19442.0,equis
-10204.0,-6692.0,12400.0,1320.0,-8233.0,-15427.0,equis
-13560.0,-3952.0,7724.0,479.0,-4810.0,-10453.0,equis
-14132.0,-2468.0,7156.0,-505.0,-4694.0,-5539.0,equis
-14284.0,-2284.0,6404.0,-1681.0,-3813.0,-1395.0,equis
-15332.0,-2700.0,6988.0,-2704.0,-3485.0,2386.0,equis
-15300.0,-3208.0,7172.0,-3144.0,-2032.0,7713.0,equis
-11964.0,-5248.0,6284.0,-3723.0,1215.0,12060.0,equis
-5372.0,-8616.0,4964.0,-5557.0,2398.0,15800.0,equis
-1296.0,-11160.0,7896.0,-7174.0,4316.0,18205.0,equis
4256.0,-13760.0,10648.0,-9256.0,7131.0,18141.0,equis
11508.0,-15000.0,17480.0,-9419.0,7151.0,16868.0,equis
15200.0,-14896.0,21456.0,-8217.0,4034.0,13443.0,equis
15144.0,-14512.0,21912.0,-6149.0,4049.0,10530.0,equis
18288.0,-14996.0,21480.0,-4910.0,3315.0,8100.0,equis
12788.0,1044.0,7448.0,-152.0,-339.0,-3554.0,equis
8440.0,1156.0,9200.0,-149.0,-190.0,-4058.0,equis
6244.0,1636.0,9832.0,426.0,-306.0,-3283.0,equis
5956.0,1656.0,8912.0,1134.0,275.0,-2378.0,equis
6816.0,1648.0,7176.0,1012.0,355.0,-1923.0,equis
6460.0,1912.0,6964.0,649.0,392.0,-1654.0,equis
6872.0,2124.0,6892.0,357.0,785.0,-1438.0,equis
5004.0,2060.0,7656.0,117.0,1045.0,-1559.0,equis
-1488.0,1692.0,8896.0,187.0,4903.0,-1311.0,equis
-7828.0,1200.0,9636.0,172.0,2471.0,2452.0,equis
-7304.0,-1512.0,10656.0,237.0,4446.0,7628.0,equis
-4500.0,-3968.0,12616.0,1019.0,4707.0,12722.0,equis
1520.0,-7404.0,12856.0,1812.0,4355.0,16195.0,equis
4616.0,-9084.0,14872.0,3081.0,4857.0,17661.0,equis
8496.0,-10740.0,13864.0,4643.0,4621.0,19336.0,equis
18208.0,-12764.0,11676.0,5453.0,1173.0,20185.0,equis
29552.0,-12136.0,9236.0,5323.0,1640.0,16276.0,equis
32767.0,-10740.0,9424.0,4679.0,1413.0,9674.0,equis
32767.0,-9876.0,11584.0,4524.0,2144.0,1542.0,equis
32767.0,-9260.0,14344.0,5201.0,-362.0,-5805.0,equis
27920.0,-9700.0,13756.0,6457.0,-3234.0,-11161.0,equis
21104.0,-10032.0,11988.0,7780.0,-2992.0,-14793.0,equis
16072.0,-9668.0,9684.0,8188.0,-3533.0,-16614.0,equis
12440.0,-8724.0,8112.0,8408.0,-3739.0,-17699.0,equis
7192.0,-7200.0,7656.0,8838.0,-4241.0,-17856.0,equis
3164.0,-5296.0,5052.0,8801.0,-7274.0,-16841.0,equis
-424.0,-3404.0,1192.0,8358.0,-6874.0,-15182.0,equis
-5368.0,-1144.0,-3196.0,7856.0,-6563.0,-13177.0,equis
-9964.0,1016.0,-5168.0,5033.0,-5582.0,-8847.0,equis
-12416.0,2224.0,-6844.0,1926.0,-2236.0,-3255.0,equis
-10892.0,2828.0,-4944.0,-799.0,-1105.0,3076.0,equis
-5304.0,1736.0,-2348.0,-2274.0,-1238.0,7541.0,equis
816.0,448.0,-2068.0,-2419.0,-622.0,10699.0,equis
5072.0,-1844.0,-5292.0,-4039.0,-427.0,11051.0,equis
3196.0,-3208.0,-4720.0,-6565.0,277.0,11613.0,equis
1172.0,-5364.0,-2328.0,-8631.0,757.0,13915.0,equis
5432.0,-8416.0,-1456.0,-10279.0,2836.0,17675.0,equis
11984.0,-11300.0,828.0,-12295.0,4867.0,17611.0,equis
18084.0,-13352.0,4460.0,-14099.0,7980.0,16705.0,equis
20688.0,-13296.0,11888.0,-14714.0,7121.0,13744.0,equis
-24.0,1264.0,17888.0,827.0,82.0,899.0,equis
-1376.0,1296.0,16536.0,1127.0,440.0,597.0,equis
-220.0,1284.0,18644.0,1124.0,369.0,1031.0,equis
2640.0,404.0,15788.0,1507.0,1265.0,775.0,equis
1204.0,424.0,13444.0,384.0,2049.0,-8.0,equis
1160.0,1244.0,16788.0,631.0,1510.0,-987.0,equis
-1264.0,-812.0,12596.0,42.0,1790.0,-998.0,equis
-4956.0,-1476.0,15932.0,-1307.0,2326.0,-1274.0,equis
-9408.0,-2388.0,20620.0,-1721.0,-554.0,-256.0,equis
-12800.0,-2936.0,21964.0,-579.0,482.0,2822.0,equis
-13004.0,-2768.0,26296.0,2209.0,843.0,6864.0,equis
-11768.0,-3244.0,22032.0,5188.0,728.0,11143.0,equis
-6900.0,-5360.0,18984.0,5691.0,2732.0,15215.0,equis
-3520.0,-8072.0,19192.0,6424.0,2562.0,18203.0,equis
3144.0,-10520.0,19232.0,7411.0,3156.0,20462.0,equis
12612.0,-14144.0,16544.0,7843.0,282.0,20628.0,equis
19904.0,-14412.0,16156.0,8934.0,2406.0,17471.0,equis
15468.0,-14396.0,13884.0,8925.0,5303.0,14356.0,equis
16460.0,-13448.0,13684.0,8007.0,2083.0,12284.0,equis
14568.0,-12808.0,10500.0,7153.0,2621.0,10327.0,equis
18404.0,-13132.0,7988.0,4677.0,68.0,7849.0,equis
20180.0,-12452.0,13352.0,2833.0,321.0,5248.0,equis
24324.0,-12800.0,19752.0,2315.0,206.0,2388.0,equis
26892.0,-14240.0,21012.0,4757.0,-1361.0,-3007.0,equis
22836.0,-15096.0,16264.0,7061.0,-2510.0,-8977.0,equis
15296.0,-14908.0,9036.0,6484.0,-4178.0,-12587.0,equis
8876.0,-13628.0,8208.0,4556.0,-4313.0,-14117.0,equis
5504.0,-11028.0,9040.0,3501.0,-2578.0,-14008.0,equis
1736.0,-9128.0,6528.0,2262.0,-1849.0,-12937.0,equis
648.0,-7460.0,5360.0,42.0,-2961.0,-11404.0,equis
-1016.0,-5992.0,7560.0,-2240.0,-2991.0,-10441.0,equis
-3832.0,-4348.0,10232.0,-3438.0,-4217.0,-9057.0,equis
-9228.0,-2476.0,18044.0,-2835.0,-3016.0,-7448.0,equis
-10732.0,-2260.0,14852.0,781.0,-2904.0,-3249.0,equis
-13620.0,-2080.0,8008.0,1530.0,-6100.0,2300.0,equis
-10520.0,-3228.0,4720.0,469.0,-5887.0,7486.0,equis
-8288.0,-5904.0,-728.0,-1648.0,-5427.0,12078.0,equis
-5552.0,-9296.0,1436.0,-5166.0,-2725.0,15968.0,equis
-436.0,-13248.0,4524.0,-6960.0,-2011.0,19351.0,equis
7204.0,-16924.0,9516.0,-8525.0,-1471.0,20851.0,equis
3160.0,-200.0,17364.0,-673.0,-12.0,-992.0,infinito
2720.0,-228.0,17828.0,-720.0,324.0,-1650.0,infinito
892.0,284.0,19052.0,-471.0,120.0,-2103.0,infinito
-836.0,984.0,18984.0,-136.0,-599.0,-1863.0,infinito
-1896.0,1276.0,18648.0,300.0,72.0,-1006.0,infinito
4.0,1464.0,18424.0,603.0,383.0,-216.0,infinito
5388.0,380.0,19868.0,579.0,-1039.0,-662.0,infinito
7280.0,-92.0,23020.0,1430.0,-3593.0,-3355.0,infinito
2472.0,216.0,29148.0,4151.0,-5026.0,-5953.0,infinito
-5248.0,-608.0,24624.0,8675.0,-4523.0,-5991.0,infinito
-10168.0,-640.0,19260.0,10852.0,-3507.0,-4022.0,infinito
-12480.0,-636.0,14580.0,11776.0,-1823.0,-848.0,infinito
-11396.0,-732.0,10408.0,11371.0,-868.0,2809.0,infinito
-9704.0,-1540.0,3188.0,9491.0,899.0,5638.0,infinito
-7596.0,-2256.0,1800.0,5498.0,2410.0,8132.0,infinito
-4008.0,-3760.0,1856.0,1902.0,2860.0,9888.0,infinito
844.0,-4916.0,5148.0,-1255.0,2496.0,10212.0,infinito
4336.0,-6064.0,4968.0,-3824.0,2252.0,9191.0,infinito
6144.0,-6756.0,8768.0,-6303.0,516.0,7371.0,infinito
8312.0,-7272.0,11736.0,-7599.0,490.0,5590.0,infinito
14268.0,-8684.0,12444.0,-8204.0,-664.0,2820.0,infinito
20668.0,-8344.0,14348.0,-8026.0,1947.0,-3374.0,infinito
11112.0,-8088.0,14796.0,-7657.0,1942.0,-9695.0,infinito
1532.0,-6108.0,13244.0,-8077.0,232.0,-11500.0,infinito
-5120.0,-4100.0,14132.0,-8541.0,1459.0,-10921.0,infinito
-10048.0,-1496.0,13088.0,-8947.0,-229.0,-8537.0,infinito
-13916.0,316.0,13212.0,-10028.0,1580.0,-4864.0,infinito
